question,answer,wrong1,wrong2,wrong3
24. KAUMARAVRITYA DEALS WITH THE DISEASE OF,D. BOTH A AND B,A. CHILDREN,B. PREGNANT WOMEN,C. OLD AGE
24. SUSHRUTAA IS KNOWN AS THE FATHER OF,B. SURGERY,A. PHARMACOLOGY,C. GENERAL MEDICINE,D. ENT
25. SUSHRUTAA SAMHITA CONTAINS.........STHANAS AND........ADHYAYA (CHAPTER),"C. 6,120+66","A. 8,120+66","B. 7,120+66","D. 9,120+66"
26. KASHYAPA SAMHITA IS WRITTEN BY,JEEVAKA,A. VAGBHATA,B. BHELA,D. AGNIVESHA
27. TRIDANDA IN AYURVEDA INCLUDES,C. SHATWA,A. SHAREERA,B. ATMA,C.
28. FATHER OF AYURVEDA IS,B. DHANWANTARI,A. BRAMHA,B. SUSHRUTAA,D. CHARKAAA
29. KAUMARAVRITYA IS MAINLY STUDIED IN,B. KASHYAPA SAMHITA,A. SHRUTAA SAMHITA,C. BHELA SAMHITA,D. CHARAKAAA SAMHITA
30. THE WRITER OFKASHYAPA SAMHITA FOUND IN NEPAL IS,A. PANDIT HEMRAJ SHARMA,B. Dr. KAMDEV JHA,C. Dr D.B ROKA,D. Dr. KASHIRAJ SUBEDI
31. PHARAMACEUTICAL IS MAINLY DESCRIBED IN,C. SHRANGADHARAAA SAMHITA,A. ASTANGA HRIDAYA,B. MADHAVAA  NIDANAAA,D. BHAPAPRAKASHA NIGHANTU
32. GOAL OF LIFE DOEN NOT INCLUDE,C. SAMADHI,A. DHARMA,B. ARTHA,D. MOKSHYA
33. LANGUAGE TRAYEE DOESN'T INCLUDE ONE OF THE FOLLOWING TEXT,D. CHARAKAA SAMHITA,A. MADHAVAA NIDANAA,B. BHAVAPRAKASH NIGHANTU,C. SHARANGADHARAA SAMHITA
34. WHICH  OF THE FOLLOWING IS NOT THE AIM OF AYURVEDA,D. ONLY THE TREATMENT OF DISEASE,A. PROMOTE OF HEALTH OF HEALTHY PERSON,B. ALLEVIATE ABNORMALITY OF AN UNHEALTHY PERSON,C. TO SHOW THE TRUE WAY OF LIFE STYLE
35. SWEDA IS MALA OF:,A. MEDA DHATU,B. ASTHI DHATU,C. MAMSA DHATU,D. SHUKRA DHATU
37. PURAN KARMA IS DONE BY,D. MAJJA DHATU,A. RASA DHATU,B. MAMSA DHATU,C. MEDA DHATU
37. AYURVEDA IS DERIVED FROM,C. ATHARVAVEDA,A. RIGVEDA,B. SAMAVEDA,D. YAJURVEDA
38. THE TIME OF CHARAKAAA IS,C. 1500 BC,A. 2000 BC,B. 2600 BC,D. 5000 BC
39. CHARAKAAA IS TAKEN AS THE FATHER OF,B. GENERAL MEDICINE,A. SURGERY,C. ENT,D. SHALAKYA TANTRA
40. VAGBHATA IS THE WRITER OF,D. BOTH A AND B,A. ASTANGA SANGRAHA,B. ASTANGA HRIDAYA,C. AGNIVESHA TANTRA
41. THE TYPE OF VIPAKAA ARE,B.13,A. 12,C. 11,D. 15
42. RUPA IS CHARACTERISTICS OF,B. TEJA,A. JALA,C. AKASH,D. VAYU
43. THE TYPE OF DHATU IN HUMAN BODY ARE,C. 7,A. 5,B. 6,D. 9
