question,answer,wrong1,wrong2,wrong3
The rate of reaction depends upon,Temperature,Initial concentration of reactant,Pressure,Volume
The rate at which substance reacts depend on its,Active mass,Atomic weight,Equivalent weight,Molecular weight
The factor which does not influence the rate of reaction is,Molecularity,Nature of reactant,Concentration,Temperature
75% of a first order reaction was completed in 32 minutes. When was 50% of reaction completed,16 minute,24 minute,8 minute,4 minute
Radioactive substance remain 1/8th of its original Mass after 96 days. What is the half life period of the radioactive substance,32 minutes,16 minutes,44 minutes,40 minutes
KI reacts with which of the following compounds to liberate iodine,Cl2,Zn,Mg,Al
"In first order reaction, 50% of reaction is completed in 16 minutes, so 75% of reaction will be completed in",32 minutes,8 minute,16 minutes,24 minutes
Which is true,Catalyst lower the activation energy,"Catalyst changes, the value of rate constant",Catalyst increases the activation energy,Catalyst is used up in a reaction
In which order reaction rate of reaction is equal to rate constant,Zero order,First order,Second order,Third order
Rate constant depend on,Temperature,Initial concentration of reactant,Initial concentration of product,None
Catalyst is used to,Lower the activation energy,Change the value of product reaction,Increase the concentration of product,Decrease the concentration of reactant
The specific rate constant of 1st order reaction depends on the,Temperature,Initial concentration,Final concentration,Time
The rate constant of reaction is 3.2×10^3 hour the order of the reaction is,First,Zero,Third,Second
The rate constant depends on the,Temperature,Concentration of reactant,Pressure,None
Specific rate constant of first order depends upon,Temperature,Concentration,Velocity,Catalyst
What is the unit of rate constant of 3rd order reaction,Mol^-2litre^2sec^-1,mol^-1litre sec,Litre/sec,None
"If temperature is raised by 5°C, then rate of reaction increase by",50%,25%,150%,200%
The reaction of H2 and Cl2 in the presence of light is____ order of reaction,0,1,2,4
The first order rate constant for the decomposition of N2 05 is 6.2*10^-4 s^-1 calculate half life in seconds,1117.7s,117.7 s,1240s,1244.4s
"The order of reaction occurring by following mechanism
A2+B2--->2AB A2---A+A(fast)

A+ B--->AB(slow)+B

A+B--->AB(fast)",1.5,1,2,None
"If one-eighth of a sample remains after 120 hours, then the half life of the element is",40 hours,20 hours,60 hours,80 hours
Which of the following statement is not correct,Molecularity of reaction cannot be more than three,Molecularity of reaction cannot be fractional,Molecularity of reaction can be obtained from balanced chemical reaction,Molecularity of reaction may or may not be equal to the order of the reaction
Which of the following is a first order reaction,Alkaline hydrolysis of tertiary butyl chloride,Alkaline hydrolysis of ethyl acetate,Alkaline hydrolysis ofC2H5Cl,None
75% of first order reaction was completed in 32 minutes. When was 50% of the reaction completed,16 minutes,24 minutes,8 minutes,4 minutes
"If 75% of the first order reaction is completed in 32 minutes, then 50% of the reaction would be completed in",16 min,4 min,8 min,24min
△H° Of the reaction corresponds to the energy,c,a,b,a+b
The second orders rate constant usually expressed as,mole^-1lit sec^-1,Mole litre sec,Mole^-1 lit^-1sec^-1,Mole litre^-2 sec^-1
Process possible with some initation,Reaction between hydrogen and oxygen by electric spark,Sugar dissolving in water to form a solution,Water evaporating from ponds,Nitric oxide and oxygen reacting to form nitrogen dioxide
50% reaction is complete in 16 minutes. What percentage would be completed in 32 minutes,75,90,60,None of above
From arrhersius equation straight line is obtained by,Log k versus 1/T,Log k versus T,K versus logT,K versus log 1/T
"Arrhenius equation is given by K=Ae^-Ea/RT for a chemical reaction log K=10.96 + 9800 at 40°C, then the value of pre-exponential factor A is",9.2*10^10,2*10^13,6*10^10,1
The half life of a chemical reaction is 10 days. The rate constant of the reaction is,0.0693 day^-1,0.693 day^-1,2.303 day^-1,10 day^-1
The unit of rate constant of the first order reaction is,Sec^-1,Mol lit^-1sec^-1,Mol^-1 lit sec^-1,None
Rate of chemical reaction increases when pressure increase at constant temperature because,Number of energetic collisions increases,Kinetic energy of reactant molecules increases,Activation energy increase,It increases space between molecules
"A reaction was found to be second order with respect to concentration of carbon monoxide. If the concentration of carbon monoxide is double with everything else kept the same, the rate of reaction will be",Increase by factor of 4,Remain unchanged,Triple,Double
"A chemical reaction, a catalyst changes the",Activation energy,Potential energy of the product,Potential energy of the reactants,Heat of reaction
75% of a first order reaction was completed in 32 minutes when was 50% of the reaction complete,16 minutes,24 minutes,8 minutes,4 minutes
The unit for constant of first order reaction is,S^-1,Mol L ^-1S^-1,mol S^-1,L mol^-1 S^-1
Half life is independent of initial concentration is,First order,Second order,Third order,Zero order
